"","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft"
"2137",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4583,103,NA,"A2","29 COUNTRY WOODS LANE"," ",10308," 1 "," -   "," 1 "," 3,000 "," 1,512 ",1980,1,"A2"," $540,000 ","6/17/16",540000,1512,3000
"2138",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4583,120,NA,"A2","242 TANGLEWOOD DRIVE"," ",10308," 1 "," -   "," 1 "," 3,000 "," 1,925 ",1978,1,"A2"," $375,000 ","4/6/16",375000,1925,3000
"2139",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4583,147,NA,"A2","10 NUTWOOD COURT"," ",10308," 1 "," -   "," 1 "," 2,900 "," 1,480 ",1978,1,"A2"," $-   ","11/14/16",NA,1480,2900
"2140",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4583,219,NA,"A9","136 TANGLEWOOD DRIVE"," ",10308," 1 "," -   "," 1 "," 2,600 "," 1,360 ",1981,1,"A5"," $525,000 ","11/17/16",525000,1360,2600
"2141",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4583,243,NA,"A9","70 TANGLEWOOD DRIVE"," ",10308," 1 "," -   "," 1 "," 2,625 "," 1,360 ",1981,1,"A5"," $520,000 ","11/28/16",520000,1360,2625
"2142",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4583,246,NA,"A9","64 TANGLEWOOD DRIVE"," ",10308," 1 "," -   "," 1 "," 2,600 "," 1,360 ",1981,1,"A5"," $-   ","10/31/16",NA,1360,2600
"2143",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4587,50,NA,"A5","21 ELKHART STREET"," ",10308," 1 "," -   "," 1 "," 1,400 "," 1,380 ",1993,1,"A5"," $365,000 ","5/23/16",365000,1380,1400
"2144",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4588,34,NA,"A2","426 CORBIN AVENUE"," ",10308," 1 "," -   "," 1 "," 6,300 "," 768 ",1950,1,"A2"," $310,000 ","8/18/16",310000,768,6300
"2145",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4589,52,NA,"A5","521 GREAVES AVENUE"," ",10308," 1 "," -   "," 1 "," 1,400 "," 1,438 ",1990,1,"A5"," $402,000 ","8/25/16",402000,1438,1400
"2146",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4590,27,NA,"A2","534 GREAVES AVENUE"," ",10308," 1 "," -   "," 1 "," 4,680 "," 1,708 ",1970,1,"A2"," $530,000 ","3/4/16",530000,1708,4680
"2147",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4590,31,NA,"A1","526 GREAVES AVENUE"," ",10308," 1 "," -   "," 1 "," 3,960 "," 1,148 ",1965,1,"A1"," $580,000 ","8/26/16",580000,1148,3960
"2148",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4591,42,NA,"A2","83 DALEHAM STREET"," ",10308," 1 "," -   "," 1 "," 5,000 "," 840 ",1950,1,"A2"," $460,000 ","11/21/16",460000,840,5000
"2149",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4592,10,NA,"A2","94 DALEHAM STREET"," ",10308," 1 "," -   "," 1 "," 5,000 "," 900 ",1955,1,"A2"," $535,000 ","11/7/16",535000,900,5000
"2150",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4592,20,NA,"A2","74 DALEHAM STREET"," ",10308," 1 "," -   "," 1 "," 5,000 "," 900 ",1950,1,"A2"," $420,000 ","7/26/16",420000,900,5000
"2151",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4593,3,NA,"A2","427 MILES AVENUE"," ",10308," 1 "," -   "," 1 "," 5,200 "," 1,161 ",1955,1,"A2"," $499,749 ","8/31/16",499749,1161,5200
"2152",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4596,13,NA,"A5","406 ARTHUR KILL ROAD"," ",10308," 1 "," -   "," 1 "," 700 "," 978 ",1985,1,"A5"," $295,000 ","6/3/16",295000,978,700
"2153",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4596,22,NA,"A5","504 MILES AVENUE"," ",10308," 1 "," -   "," 1 "," 700 "," 978 ",1985,1,"A5"," $295,000 ","6/27/16",295000,978,700
"2154",5,"GREAT KILLS","01 ONE FAMILY DWELLINGS                    ","1",4596,23,NA,"A5","502 MILES AVENUE"," ",10308," 1 "," -   "," 1 "," 700 "," 978 ",1985,1,"A5"," $320,000 ","11/21/16",320000,978,700
